20201007132918,1001,새우깡,1500,1
20201007132918,2001,월드콘,1500,1
20201007132918,3001,안성탕면팩,3000,1
20201007233130,1001,새우깡,1500,2
20201007233130,2001,월드콘,1500,2
20201007233429,1001,새우깡,1500,1
20201007233429,2001,월드콘,1500,2
20201007233429,3001,안성탕면팩,3000,2
20201008083833,1001,새우깡,1500,4
20201008083833,1001,새우깡,1500,1
20201008083833,1001,새우깡,1500,2
20201008083833,2001,월드콘,1500,2
20201008083833,4002,롤화장지,11000,100
20201008100931,1001,새우깡,1500,2
20201008100931,2001,월드콘,1500,1
20201008100931,3001,안성탕면팩,3000,1
20201011160857,1001,새우깡,1500,3
20201011160857,2001,월드콘,1500,2
20201011160857,3001,안성탕면팩,3000,1
20201011160857,1001,새우깡,1500,-3
20201011160857,2001,월드콘,1500,-2
20201011160857,3001,안성탕면팩,3000,-1
